id_hint,question,status,real_anchor,source,base,grade,notes,verification_state
REW264_GOV_AIPAYREVIEW,Does AI proficiency influence base pay review outcomes for any population?,anchored,31% of employers reflect AI proficiency in pay decisions,HiBob UK research 2026 (prior validation),"UK employers surveyed — vendor research, flagged as such",A,,
REW264_PEN_SALSACIMPACT,"Have you assessed the workforce cost impact of the £2,000 NIC cap on pension salary sacrifice (April 2029)?",anchored,51% of employers believe the £2k sal-sac cap will increase their costs,CIPD Labour Market Outlook Winter 2025/26,"n=2,082 UK employers, weighted representative",A,,
REW264_PEN_SALSACRESPONSE,What is your intended response to the 2029 salary sacrifice cap?,estimate-flag,No published intention split yet (maintain/restructure/withdraw),—,—,E,New law; LMO 51% cost-concern is context. Co-op-first metric by design.,
REW264_PEN_NICSHARING,Do you currently share employer NIC savings from pension salary sacrifice with employees (e.g. as contribution,estimate-flag,Pass-through sharing prevalence unpublished,—,—,E,"OBR expects employers to bear ~76% of cap cost (prior validation) — incidence, not sharing-practice.",
REW264_PEN_CONTRIBTIER,Do employer pension contributions increase with length of service or age?,estimate-flag,Tenure/age tiering prevalence unpublished; DC surveys report levels not tiering,—,—,E,,
REW264_PEN_AEDEFAULT,What is the default employee contribution rate for auto-enrolled joiners (above statutory minimum)?,verify-queued,Majority of AE savers understood to sit at statutory default,DWP AE evaluation / TPR DC trust data — VERIFY before seeding,savers vs employers — base differs,—,Do not seed a number until verified.,
REW264_PEN_AUTOESC,Do you operate auto-escalation of pension contributions (e.g. save-more-tomorrow)?,verify-queued,UK employer adoption low; trial-stage,Nest Insight auto-escalation trials — VERIFY figure,—,—,,
REW264_PEN_PENLEAVEGAP,Do you make employer pension contributions during periods of unpaid parental or carers leave beyond statutory ,estimate-flag,Employer contribution during unpaid parental/carer leave unpublished,—,—,E,PLSA gender pensions gap work is context only.,
REW264_PEN_MIDLIFEMOT,Is a mid-life MOT or structured retirement-planning support offered?,verify-queued,Employer-offered midlife MOT counts may exist,DWP Midlife MOT evaluation — VERIFY,—,—,,
REW264_PEN_GREENDEFAULT,Does your default pension fund have a published ESG or net-zero commitment?,verify-queued,Share of DC defaults with net-zero commitment,TPR climate reporting / PLSA — VERIFY,SCHEMES not employers — base note mandatory,—,,
